Time	Target	Distance	Bearing
2,2	15	42,4464	147,856
2,2	16	22,5538	238,352
2,2	17	40,4142	8,95953
2,2	18	31,9387	325,716
2,2	19	15,8552	181,298
2,2	20	15,2351	76,6217
2,2	22	40,2971	119,042
2,2	23	48,9057	193,28
2,2	25	35,288	134,202
===========================================
2,3	0	35,2601	152,089
2,3	3	36,6482	3,22318
2,3	4	32,6025	83,7067
2,3	5	37,8701	114,212
2,3	6	45,9565	329,308
2,3	7	40,0945	207,033
2,3	8	40,1969	313,467
2,3	9	25,6269	308,42
2,3	14	49,8085	263,732
2,3	15	43,5	148,938
2,3	16	21,4887	238,618
2,3	17	40,48	8,99348
2,3	18	31,512	324,58
2,3	19	15,5352	178,043
2,3	20	15,5531	72,8182
2,3	22	40,1072	118,789
2,3	23	49,7057	193,784
2,3	25	37,3076	134,137
===========================================
2,4	0	35,9473	151,53
2,4	3	39,8659	5,43579
2,4	4	33,6957	88,37
2,4	5	37,2052	115,115
2,4	6	46,2662	327,079
2,4	7	41,2124	207,721
2,4	8	40,763	313,232
2,4	9	25,293	310,422
2,4	15	44,6494	150,045
2,4	16	20,4241	238,913
2,4	17	40,5646	9,03696
2,4	18	31,098	323,414
2,4	19	15,2678	174,651
2,4	20	15,9368	69,1825
2,4	22	39,9181	118,534
2,4	25	39,4472	134,075
===========================================
2,5	0	36,6379	150,992
2,5	3	43,2828	7,39382
2,5	4	35,0648	92,9143
2,5	5	36,4914	116,137
2,5	6	46,6587	324,812
2,5	7	42,3728	208,395
2,5	8	41,349	312,995
2,5	9	24,9907	312,474
2,5	15	45,8967	151,166
2,5	16	19,3601	239,239
2,5	17	40,668	9,08985
2,5	18	30,6972	322,216
2,5	19	15,0556	171,151
2,5	20	16,3815	65,7308
2,5	22	39,7298	118,276
2,5	25	41,7068	134,017
===========================================
2,6	0	37,3315	150,474
2,6	3	46,8932	9,13034
2,6	4	36,7138	97,2761
2,6	5	35,7324	117,288
2,6	6	47,1389	322,515
2,6	7	43,5759	209,051
2,6	8	41,955	312,758
2,6	9	24,7213	314,574
2,6	15	47,2437	152,296
2,6	16	18,2969	239,603
2,6	17	40,7903	9,15202
2,6	18	30,3102	320,988
2,6	19	14,9011	167,564
2,6	20	16,8824	62,4726
2,6	22	39,5423	118,015
2,6	25	44,0864	133,961
===========================================
2,7	0	38,0281	149,975
2,7	4	38,6416	101,407
2,7	5	34,9324	118,582
2,7	6	47,7115	320,2
2,7	7	44,8217	209,691
2,7	8	42,5809	312,52
2,7	9	24,4858	316,718
2,7	15	48,6923	153,426
2,7	16	17,2344	240,013
2,7	17	40,9314	9,2233
2,7	18	29,9375	319,728
2,7	19	14,8061	163,918
2,7	20	17,4346	59,4115
2,7	22	39,3556	117,753
2,7	25	46,5861	133,909
===========================================
2,8	0	38,7275	149,494
2,8	4	40,843	105,277
2,8	5	34,0965	120,035
2,8	6	48,3807	317,876
2,8	7	46,1102	210,314
2,8	8	43,2268	312,282
2,8	9	24,2852	318,9
2,8	16	16,1729	240,476
2,8	17	41,0914	9,30348
2,8	18	29,5796	318,437
2,8	19	14,7717	160,239
2,8	20	18,0335	56,5459
2,8	22	39,1698	117,487
2,8	25	49,2058	133,861
===========================================
2,9	0	39,4295	149,03
2,9	4	43,3099	108,868
2,9	5	33,2307	121,663
2,9	6	49,1501	315,555
2,9	7	47,4414	210,92
2,9	8	43,8927	312,045
2,9	9	24,1203	321,115
2,9	16	15,1127	241,004
2,9	17	41,2703	9,39236
2,9	18	29,2371	317,115
2,9	19	14,7983	156,558
2,9	20	18,6745	53,8707
2,9	22	38,9848	117,219
===========================================
3	0	40,134	148,583
3	4	46,0325	112,178
3	5	32,3421	123,485
3	7	48,8153	211,508
3	8	44,5787	311,808
3	9	23,992	323,357
3	16	14,0539	241,612
3	17	41,4682	9,4897
3	18	28,9106	315,762
3	19	14,8856	152,905
3	20	19,3535	51,3781
3	22	38,8006	116,949
===========================================
3,1	0	40,8408	148,15
3,1	4	49,0004	115,212
3,1	5	31,4394	125,524
3,1	8	45,2848	311,572
3,1	9	23,9008	325,62
3,1	16	12,997	242,319
3,1	17	41,6851	9,59526
3,1	18	28,6005	314,38
3,1	19	15,0326	149,31
3,1	20	20,0666	49,0585
3,1	22	38,6174	116,676
===========================================
3,2	0	41,5499	147,733
3,2	5	30,5326	127,803
3,2	8	46,0111	311,337
3,2	9	23,8471	327,896
3,2	16	11,9424	243,151
3,2	17	41,921	9,70875
3,2	18	28,3074	312,968
3,2	19	15,2375	145,797
3,2	20	20,8103	46,9014
3,2	22	38,435	116,4
===========================================
